"Species","Date","Sex","Wing","Culmen","Mass","lat","lon","dist_mau_loa","dist_kil","dist_hil","dist_wai","dist_kon","dist_hua","dist_mau_kea","dist_poh","dist_arm_res","shr_bin","mau_loa_bins","kil_bins","hua_bins","mau_kea_bins","Year"
"APAP","20-Jun-19","F",70,16.2,15.2,19.7142145607864,-155.914711351345,43.363434554096,76.5622354652755,91.9190381468794,41.3390242983365,11.6446086112246,6.10194731556929,51.0652078306995,42.573169766317,92.2130993780021,"near","middle","far","near","middle",19
"HAAM","18-Jun-19","F",66,13.9,12.4,19.7142145607864,-155.914711351345,43.363434554096,76.5622354652755,91.9190381468794,41.3390242983365,11.6446086112246,6.10194731556929,51.0652078306995,42.573169766317,92.2130993780021,"near","middle","far","near","middle",19
"HAAM","20-Jun-19","M",67,15,12.4,19.7142145607864,-155.914711351345,43.363434554096,76.5622354652755,91.9190381468794,41.3390242983365,11.6446086112246,6.10194731556929,51.0652078306995,42.573169766317,92.2130993780021,"near","middle","far","near","middle",19
"APAP","18-Jun-19","M",75,16.2,14.7,19.7142145607864,-155.914711351345,43.363434554096,76.5622354652755,91.9190381468794,41.3390242983365,11.6446086112246,6.10194731556929,51.0652078306995,42.573169766317,92.2130993780021,"near","middle","far","near","middle",19
"HAAM","18-Jun-19","M",64,14.1,12.3,19.7142145607864,-155.914711351345,43.363434554096,76.5622354652755,91.9190381468794,41.3390242983365,11.6446086112246,6.10194731556929,51.0652078306995,42.573169766317,92.2130993780021,"near","middle","far","near","middle",19
"APAP","18-Jun-19","F",70,16.9,16,19.7142145607864,-155.914711351345,43.363434554096,76.5622354652755,91.9190381468794,41.3390242983365,11.6446086112246,6.10194731556929,51.0652078306995,42.573169766317,92.2130993780021,"near","middle","far","near","middle",19
"APAP","19-Jun-19","F",72,17,16,19.7142145607864,-155.914711351345,43.363434554096,76.5622354652755,91.9190381468794,41.3390242983365,11.6446086112246,6.10194731556929,51.0652078306995,42.573169766317,92.2130993780021,"near","middle","far","near","middle",19
"APAP","20-Jun-19","F",69,17.3,16,19.7142145607864,-155.914711351345,43.363434554096,76.5622354652755,91.9190381468794,41.3390242983365,11.6446086112246,6.10194731556929,51.0652078306995,42.573169766317,92.2130993780021,"near","middle","far","near","middle",19
"IIWI","18-Jun-19","F",70,24.1,12.7,19.7142145607864,-155.914711351345,43.363434554096,76.5622354652755,91.9190381468794,41.3390242983365,11.6446086112246,6.10194731556929,51.0652078306995,42.573169766317,92.2130993780021,"near","middle","far","near","middle",19
"HAAM","18-Jun-19","F",60,13.1,12.9,19.7142145607864,-155.914711351345,43.363434554096,76.5622354652755,91.9190381468794,41.3390242983365,11.6446086112246,6.10194731556929,51.0652078306995,42.573169766317,92.2130993780021,"near","middle","far","near","middle",19
"HAAM","18-Jun-19","F",63,13.1,10.8,19.7142145607864,-155.914711351345,43.363434554096,76.5622354652755,91.9190381468794,41.3390242983365,11.6446086112246,6.10194731556929,51.0652078306995,42.573169766317,92.2130993780021,"near","middle","far","near","middle",19
"APAP","19-Jun-19","M",76,17.5,14.7,19.7142145607864,-155.914711351345,43.363434554096,76.5622354652755,91.9190381468794,41.3390242983365,11.6446086112246,6.10194731556929,51.0652078306995,42.573169766317,92.2130993780021,"near","middle","far","near","middle",19
"HAAM","19-Jun-19","F",63,13.8,10.9,19.7142145607864,-155.914711351345,43.363434554096,76.5622354652755,91.9190381468794,41.3390242983365,11.6446086112246,6.10194731556929,51.0652078306995,42.573169766317,92.2130993780021,"near","middle","far","near","middle",19
"HAAM","19-Jun-19","F",59,14.2,11.6,19.7142145607864,-155.914711351345,43.363434554096,76.5622354652755,91.9190381468794,41.3390242983365,11.6446086112246,6.10194731556929,51.0652078306995,42.573169766317,92.2130993780021,"near","middle","far","near","middle",19
